concept_id,concept_code,privacy_rule,vocabulary_id,date_added
43530907,609446006,perinatal,snomed,2024-03-08
43530908,609447002,perinatal,snomed,2024-03-08
43530910,609450004,perinatal,snomed,2024-03-08
43530911,609451000,perinatal,snomed,2024-03-08
43530939,609485004,perinatal,snomed,2024-03-08
43530945,609491002,perinatal,snomed,2024-03-08
43531705,609428000,perinatal,snomed,2024-03-08
44782688,128391000119101,legal_intervention,snomed,2024-03-08
44783184,699241002,military_operations,snomed,2024-03-08
44784256,698301002,assault/homicide,snomed,2024-03-08
44784273,698318003,perinatal,snomed,2024-03-08
44784482,698636009,perinatal,snomed,2024-03-08
44786876,74221-3,location,loinc,2024-03-08
44786929,74286-6,motor vehicle accident,loinc,2024-03-08
44820252,995.53,assault/homicide,icd9cm,2024-03-08
44820392,V15.4,assault/homicide,icd9cm,2024-03-08
44821408,995.80,assault/homicide,icd9cm,2024-03-08
44821588,V61.03,legal_intervention,icd9cm,2024-03-08
44821603,V71.81,assault/homicide,icd9cm,2024-03-08
44822074,636.20,legal_intervention,icd9cm,2024-03-08
44822587,E885.0,motor vehicle accident,icd9cm,2024-03-08
44822729,V61.0,military_operations,icd9cm,2024-03-08
44823647,995.85,assault/homicide,icd9cm,2024-03-08
44824377,636.40,legal_intervention,icd9cm,2024-03-08
44824838,995.54,assault/homicide,icd9cm,2024-03-08
44826231,V61.02,military_operations,icd9cm,2024-03-08
44827922,636.70,legal_intervention,icd9cm,2024-03-08
44828342,995.50,assault/homicide,icd9cm,2024-03-08
44828581,V61.1,assault/homicide,icd9cm,2024-03-08
44829474,995.52,assault/homicide,icd9cm,2024-03-08
44829596,V13.7,perinatal,icd9cm,2024-03-08
44830203,636.50,legal_intervention,icd9cm,2024-03-08
44830204,636.91,legal_intervention,icd9cm,2024-03-08
44831785,995.5,assault/homicide,icd9cm,2024-03-08
44831786,995.51,assault/homicide,icd9cm,2024-03-08
44831788,995.81,assault/homicide,icd9cm,2024-03-08
44831789,995.84,assault/homicide,icd9cm,2024-03-08
44831987,V61.11,assault/homicide,icd9cm,2024-03-08
44831990,V62.2,military_operations,icd9cm,2024-03-08
44832925,995.59,assault/homicide,icd9cm,2024-03-08
44832927,995.82,assault/homicide,icd9cm,2024-03-08
44833141,V62.83,assault/homicide,icd9cm,2024-03-08
44833708,636.90,legal_intervention,icd9cm,2024-03-08
44834122,995.83,assault/homicide,icd9cm,2024-03-08
44834317,V61.01,military_operations,icd9cm,2024-03-08
44835510,V61.21,assault/homicide,icd9cm,2024-03-08
44836610,V15.41,assault/homicide,icd9cm,2024-03-08
44837772,V15.42,assault/homicide,icd9cm,2024-03-08
45534327,O9A.419,assault/homicide,icd10cm,2024-03-08
45536996,T74.11XA,assault/homicide,icd10cm,2024-03-08
45536998,T76.22XA,assault/homicide,icd10cm,2024-03-08
45536999,T76.22XD,assault/homicide,icd10cm,2024-03-08
45537591,Y92.008,location,icd10cm,2024-03-08
45537593,Y92.119,location,icd10cm,2024-03-08
45537594,Y92.128,location,icd10cm,2024-03-08
45537595,Y92.129,location,icd10cm,2024-03-08
45537601,Y92.413,location,icd10cm,2024-03-08
45537602,Y92.414,location,icd10cm,2024-03-08
45541788,T74.92XD,assault/homicide,icd10cm,2024-03-08
45542372,Y92.012,location,icd10cm,2024-03-08
45542373,Y92.017,location,icd10cm,2024-03-08
45542374,Y92.121,location,icd10cm,2024-03-08
45542375,Y92.126,location,icd10cm,2024-03-08
45542376,Y92.149,location,icd10cm,2024-03-08
45542381,Y92.215,location,icd10cm,2024-03-08
45546654,T74.01XS,assault/homicide,icd10cm,2024-03-08
45546656,T74.21XS,assault/homicide,icd10cm,2024-03-08
45546663,T76.12XA,assault/homicide,icd10cm,2024-03-08
45546664,T76.12XD,assault/homicide,icd10cm,2024-03-08
45546665,T76.22XS,assault/homicide,icd10cm,2024-03-08
45546666,T76.31XA,assault/homicide,icd10cm,2024-03-08
45547256,Y92.001,location,icd10cm,2024-03-08
45547257,Y92.002,location,icd10cm,2024-03-08
45547258,Y92.015,location,icd10cm,2024-03-08
45547259,Y92.032,location,icd10cm,2024-03-08
45547261,Y92.160,location,icd10cm,2024-03-08
45547334,Z63.71,military_operations,icd10cm,2024-03-08
45547337,Z69.010,assault/homicide,icd10cm,2024-03-08
